prog	i	hours	female	effort	loss	satiscont	satisfied
jogging	1	1.8367035422	male	37.712184327	18.022263467	3.8426089706	0
jogging	2	2.3893601883	male	26.72401476	10.186416104	4.8501396828	0
jogging	3	2.3621167907	male	36.316572831	19.747275527	5.8883548835	0
jogging	4	2.5208657203	male	20.700475697	1.8836001427	6.3851246184	0
jogging	5	1.8898276659	male	24.727117476	14.242588642	4.2493270685	0
jogging	6	2.3671618909	male	33.669483207	19.69473057	4.2268549664	0
jogging	7	1.9491079639	male	31.39032768	11.724670198	3.8107344248	0
jogging	8	2.2066827345	male	39.711846475	22.024733503	5.8123992813	0
jogging	9	2.5124844943	male	27.625464192	8.1801414632	2.7861760423	0
jogging	10	2.1705121673	male	19.15406788	5.0286159806	7.5705844539	1
jogging	11	2.0159289881	male	38.370724326	17.804104345	1.2091163515	0
jogging	12	2.2126208824	male	33.655617969	16.26044312	3.9779396439	0
jogging	13	1.8545211803	male	24.136235008	6.9780696713	6.676993205	0
jogging	14	2.2449694419	male	30.461965846	11.980878671	-2.501328185	0
jogging	15	1.6654641519	male	26.165766875	13.672665387	8.4108828026	1
jogging	16	2.5566114383	male	34.744647485	15.526795606	5.8322824292	0
jogging	17	2.1008712358	male	36.3883663	13.485626957	7.3342573084	1
jogging	18	1.3360339035	male	25.228027296	4.4749203113	5.3129038822	0
jogging	19	1.4324265573	male	23.253680364	9.4722980501	7.984687487	1
jogging	20	2.238887607	male	29.955713354	7.4486063883	3.9779924421	0
jogging	21	2.4930541605	male	34.391765534	11.21288973	11.053312921	1
jogging	22	1.8636572138	male	25.387760097	8.3825135172	-0.692735135	0
jogging	23	2.4288787985	male	34.616340818	13.287148852	10.516452751	1
jogging	24	1.5207043349	male	29.882610359	12.050653698	1.9943115686	0
jogging	25	1.4348533097	male	30.235797483	7.1700918958	3.2010451184	0
jogging	26	2.2252573421	male	31.984905016	14.799799094	8.8608117632	1
jogging	27	1.3630754555	male	30.318114916	6.6008203906	5.2863645169	0
jogging	28	1.834287042	male	31.309381515	11.365947856	6.7443523557	0
jogging	29	1.8778002218	male	33.523939976	7.4888493258	3.2007412999	0
jogging	30	2.7087129679	male	32.124800371	10.071285061	11.007210404	1
jogging	31	2.2298150558	male	35.130014488	21.919548615	4.9889808364	0
jogging	32	2.0394792892	male	27.011877165	10.978325638	7.8787747661	1
jogging	33	1.9597148531	male	32.026715887	8.4336336144	5.6169013188	0
jogging	34	1.8358918148	male	29.658504328	9.174358868	7.2585612193	1
jogging	35	1.7662578209	male	26.409257742	15.844476839	3.7611545478	0
jogging	36	1.0007849443	male	29.507464059	11.949640007	3.9938990774	0
jogging	37	1.86565959	male	24.764970261	13.009675281	1.3263671335	0
jogging	38	1.7367587183	male	34.983401168	16.606827909	9.330303082	1
